date,equal_weight,epo,ppp,icc_mvo_ex_post,proposed_historical,proposed_ex_post,proposed_historical_epo_n,proposed_historical_ppp_n,proposed_ex_post_msr_icc_n,proposed_ex_post_icc_n,proposed_ex_post_msr
2017-01-31,1.2306976718960034,1.134405341459625,1.309120322034621,1.2985682531566765,1.1516918606379138,1.5205650192368314,1.1809537200941953,1.1774501703901448,1.2673998487300653,1.3985686908926245,1.2645257744599365
2017-02-28,1.2756332581116123,1.1810771358389542,1.3613957627380577,1.3622753442040447,1.1552212214891893,1.6882829547072762,1.2273249141181282,1.230115777681869,1.3190227389373494,1.4737763888574296,1.3164054797935192
2017-03-31,1.2739408825077774,1.1845493805906646,1.3603564657524372,1.3611631467826981,1.207407407850412,1.7259439596723902,1.2290513196570731,1.2297181226921594,1.3178502989155796,1.477817655020584,1.3154696248830398
2017-04-30,1.2771221880164725,1.1904968759895243,1.3563371084413294,1.380383563728889,1.1783348461850567,1.6887986400945054,1.226544410046289,1.218589891168258,1.3314073949796956,1.4754321327778102,1.334892565265143
2017-05-31,1.29232081039891,1.231132770339571,1.3627714944997402,1.4279001998708791,1.12849598388831,1.761160229725366,1.254303886970166,1.2472521288536467,1.3526341332723402,1.5149809490192285,1.3557786412159447
2017-06-30,1.312161225432156,1.2479230400702934,1.3874011281807113,1.4321704866712226,1.1405378839543758,1.6987567348999293,1.2686519537914294,1.2656049388428228,1.3695172626536933,1.4984171241975357,1.3751050556068474
2017-07-31,1.3314350499699235,1.2709110683376377,1.4195047507338787,1.4637529092357642,1.1824471497735474,1.8492937970502348,1.2955973754782963,1.2780100757110224,1.3929575570042356,1.5127894350230358,1.3932636116388548
2017-08-31,1.3276233439122493,1.3043965928319539,1.403733672192425,1.4671536741887143,1.132754546583264,1.6465606452970432,1.3184424042984346,1.2859276144710783,1.407664495493146,1.5095147182215891,1.4024374997478886
2017-09-30,1.3733310054541232,1.3173888094476485,1.4759124232498213,1.516969326044456,1.1601423867891605,1.8637742564247322,1.3750908465778269,1.333613921302281,1.4373604384312624,1.5770507422110558,1.4441972920768085
2017-10-31,1.4008054453816718,1.3667791113907093,1.5126811545121428,1.5813577890586816,1.2163518252185304,1.9004332141638824,1.3925751877351378,1.3715862770527072,1.477632141198037,1.6316041205692624,1.4933566355118466
2017-11-30,1.4513697183856045,1.4491759658097298,1.568149370641285,1.6450339063534458,1.3308887969582324,2.4176827825766742,1.4393086273999538,1.4228239935382694,1.5465005566905021,1.706200127787158,1.5743838457238526
2017-12-31,1.4587442733289997,1.4511523013677878,1.5629961191183197,1.6569732855760269,1.3433964506986722,2.3667710482035296,1.4600480050258315,1.441707631902086,1.5508181147752311,1.7247992906622722,1.5741326489523495
2018-01-31,1.5184318507313657,1.5019860217895222,1.5994572689077071,1.6986221443192224,1.4664980757980282,2.4680185864271236,1.5601509065578278,1.5180722210980901,1.6146950498866235,1.839404931069975,1.6424036972896119
2018-02-28,1.4548546978286951,1.4261483023959156,1.5343813403965543,1.6241988305942423,1.3980756767754539,2.5409962865451763,1.4929327347079218,1.4763283499343347,1.551970264243793,1.789550058059717,1.578369759821665
2018-03-31,1.4453920745952864,1.4350035171258932,1.5515209898188724,1.633777132682356,1.3692674414584072,2.479743722461179,1.4691803078280008,1.4635655681047255,1.5407518094292703,1.764166071324725,1.5625136664122405
2018-04-30,1.4479304015857646,1.4250584114619593,1.5501700117446469,1.6222284890742489,1.2536857897192055,2.440213461071295,1.4380723612176038,1.4289976515478242,1.5405348880350676,1.7352618534806503,1.525667863757437
2018-05-31,1.4726839025708915,1.4129394163355622,1.5783881807216718,1.6783312182044512,1.1974510360150337,2.7699437508846225,1.454846362006975,1.4811576219524438,1.55945120718357,1.8070489011185245,1.5427786330736186
2018-06-30,1.4828022785800041,1.4342950292894778,1.5789000523803363,1.6626970920291273,1.255153193936557,2.7438557500778638,1.4811207516658909,1.4819897165377092,1.574305937038084,1.8205095783847889,1.5451362791190322
2018-07-31,1.5368372476426162,1.464063015607506,1.6487986756762993,1.7428759911244336,1.248029053452835,2.8206380742376864,1.5314470803720026,1.537518937899182,1.636319122713134,1.9081306711699662,1.5943092845978406
2018-08-31,1.5729016509941016,1.5094854199575272,1.6836745876910166,1.8221764218792447,1.3083390217131394,3.3859559274235043,1.5805608093684456,1.5889502840505674,1.6844687161602083,1.9838299178109957,1.6381162795015278
2018-09-30,1.5687992202297407,1.5134883079812502,1.6455642171551847,1.8203491853379896,1.269860221444458,3.357842678343345,1.565400501769836,1.5930901713367709,1.6885330344498855,2.006189668032502,1.6436597364970038
2018-10-31,1.4538947041607087,1.4482005872141237,1.5026103185223452,1.6968083071810565,1.3627346464553771,3.11348383764405,1.471129516300711,1.4543248782028457,1.5862991597244918,1.8751085503371419,1.5306822379608997
2018-11-30,1.4997964916354944,1.4925698144956407,1.5687565037199964,1.744363601971973,1.439312360932132,3.0254191265180137,1.5355374412725684,1.5142665165653346,1.652397512149039,1.9441644290673274,1.612613459988193
2018-12-31,1.3526061687687485,1.392057142337145,1.391472921700203,1.6241261516824732,1.339517495015282,2.720168393085674,1.4083119239719504,1.3765608212038611,1.511474917497182,1.8097436466097687,1.4774012313005027
2019-01-31,1.4791758944368862,1.4636734435854146,1.540291560580767,1.7119043574322668,1.424865482819713,3.0223111829171074,1.4995438767442093,1.5014235093449984,1.6358997487367595,1.9247402135750258,1.5986059632609826
2019-02-28,1.536207489628716,1.5030768320851813,1.6026202378060515,1.7930891871155532,1.4283947707320839,3.2202145810407328,1.5576276832869982,1.5609104255525408,1.7024704372049446,2.0279254696973945,1.6664894035733002
2019-03-31,1.5420477106963557,1.524692689948867,1.587412943560834,1.8090364513088666,1.4570597823882807,3.440041169061653,1.6103396823841745,1.5588877742435399,1.7359155964288593,2.0875256914209213,1.6916905799245843
2019-04-30,1.6007073027035097,1.5690841267300772,1.6625162580237283,1.8556128617440966,1.38319650739678,3.6311465716564486,1.6456728694756872,1.6168712698467285,1.8012987217740901,2.2108767543832055,1.7778857383183173
2019-05-31,1.4951633239678017,1.553896256695127,1.5207895038728898,1.8180630492824084,1.221579567253955,3.1801110616054715,1.540413195454483,1.4821752573892666,1.7037118242982854,2.0020688364069863,1.6477652737993147
2019-06-30,1.6092967144588002,1.6137331428187929,1.6424443862048135,1.9119837839359395,1.357646297881297,3.595177009134444,1.6386788503025773,1.6108107447792512,1.8005289634824693,2.1526284795139943,1.7560708284324333
2019-07-31,1.6307270891541534,1.657998791935564,1.671973357849106,1.9484517023285484,1.5706210481983123,3.8698290451988826,1.7026621455748925,1.6519940207236663,1.8344287561453738,2.1986502931637695,1.7913305375580337
2019-08-31,1.5824345597418197,1.709570523598105,1.5740689565799362,1.9678820661616203,1.5732326070902936,3.806126813241263,1.6791747068227878,1.6139696298908355,1.8229993412739443,2.1839889404746518,1.7649822029754378
2019-09-30,1.6427178252056107,1.6972131521566765,1.6734801885088957,2.0160447120416642,1.588611727897905,4.083828069838421,1.7244417064836828,1.671247507519053,1.866422742357166,2.244772579185205,1.8192397513391252
2019-10-31,1.6618238362858324,1.6826669347391081,1.7027210849796597,1.9894426095764108,1.5269605415224856,4.4295344992025445,1.7429758182365327,1.7344633916394503,1.9137904232103655,2.3592748773198204,1.8882510967444193
2019-11-30,1.719584871577967,1.6846001742840455,1.7520534104982273,2.0111847369219853,1.5997960939797757,4.6659387285548055,1.8049857751754672,1.8123143716647407,1.9686335598576299,2.4818265481605817,1.9436194616123812
2019-12-31,1.766069299571046,1.7060616336879084,1.8121977566267826,2.047293790227662,1.5641204533139836,5.005426391805033,1.8552560096669446,1.8549416495075275,2.0069739140384946,2.5805384421514668,1.989403785438634
2020-01-31,1.7335096638135057,1.7253721252182734,1.7524695217895094,2.074294858620042,1.409516036320529,4.792170237677469,1.7835515388259777,1.7844845643247873,1.9958844245676572,2.4998078720332315,1.96920671946224
2020-02-29,1.57216654543343,1.5527157004073358,1.57578080085956,1.8914333236416685,1.2653226139678144,4.322992841703228,1.664924818690824,1.6326908245284473,1.8510326261988899,2.2782459788583473,1.84101935142403
2020-03-31,1.2858306066569607,1.3548124938800443,1.1850123762528788,1.5381551766617707,1.1855173779130894,3.996696318745427,1.49698833002597,1.4064084273724076,1.6238163937881964,2.0764637405053343,1.595297588542266
2020-04-30,1.4564553794989885,1.4749116346491797,1.32297998477702,1.683410022828772,1.272773669619905,4.449161297920849,1.663554994160751,1.5831361099084715,1.8160524696864817,2.3035616568389155,1.7946590843531207
2020-05-31,1.5310145339044992,1.5597532335623272,1.4177944691110151,1.800473901889007,1.3289195405625676,4.701585289494622,1.7778859990001443,1.6837356827602603,1.907582002445326,2.460650700774172,1.8892357600138043
2020-06-30,1.548812522958467,1.5656624339276377,1.4260672792566789,1.8388459363482474,1.4034504146900284,5.060987083257415,1.8217587319477027,1.724876421104284,1.9291542413472313,2.5444037236967856,1.9149806610684865
2020-07-31,1.615284054265503,1.665619777943759,1.5109185000463559,1.922685949035415,1.379078165847825,5.102338356716542,1.9835915063773921,1.806147702450275,2.0441264336045553,2.657921053353167,2.0267249323602115
2020-08-31,1.6871884931800705,1.6887787594302162,1.5655009748442048,1.9953486572002403,1.3883180737098197,5.458236494416285,2.078168299790015,1.9029001859672738,2.138812625878486,2.7713083747696836,2.1283028687526064
2020-09-30,1.652475237669083,1.6631803182969325,1.5330897417441536,1.944640329765985,1.2861071636705137,5.049356870304744,2.05226286896585,1.8870910663413545,2.0886899372797636,2.7032040932827757,2.080381934744308
2020-10-31,1.6507757160167849,1.601409553430028,1.5084757570102554,1.9119617411808172,1.219288994251166,5.119204062420808,1.981524164010504,1.8786983120754324,2.060525426842111,2.643702295933819,2.055629982649419
